Date,Prod A,Prod B,Prod C,Prod D,Prod E,Prod F,Prod G,Disc Prod A,Exchange_rate,Holidays
2013-01-01,-0.0083,-0.3096,0,0.5064,0,0,-0.7768,0,544.87,1
2013-01-02,475.8815,146.6653,24.3636,235.7442,-6.7031,39.8227,-6.7804,6.27947468554533e-02,544.87,0
2013-01-03,0,453.8998,73.6102,355.3212,1.5423,83.1959,3.7302,3.41508104390287e-02,544.87,0
2013-01-04,1648.3364,709.1146,364.3229,1149.9179,55.1002,226.7782,36.7548,2.35575360328678e-02,544.87,0
2013-01-05,4640.3248,2011.0755,352.258,2832.6745,117.41521,622.9843,97.00189,3.0318686240856e-02,543.79,0
2013-01-06,4740.7496,2225.7895,618.0604,2573.4859,36.75738,633.1337,-69.00347,2.7741714502241e-02,543.39,0
2013-01-07,4064.7132,1803.1006,523.1695,2309.1449,63.11574,517.5441,62.74466,2.79549607027039e-02,543.42,0
2013-01-08,3883.6431,1911.573,582.52,2161.8561,4.09404000000002,511.5459,0.666069999999991,3.03187485270881e-02,543.36,0
2013-01-09,3653.9744,1821.0388,391.7159,2484.8397,16.38666,555.1014,-22.57663,3.66173423858283e-02,542.6,0
2013-01-10,0,153.6724,85.8415,150.7573,34.84313,61.5943,16.2191,5.40221882142533e-02,542.6,0
2013-01-11,3422.6152,1313.286,438.0665,1570.1479,15.6039,396.9958,67.234,3.84297946924277e-02,542.6,0
2013-01-12,5950.7505,2341.5295,531.7069,3082.3764,53.5994,639.334,21.4245,3.30133929421708e-02,541.93,0
2013-01-13,6374.3327,2244.1367,623.7573,3155.1032,16.52485,542.6018,14.29969,3.45050207134941e-02,541.33,0
2013-01-14,5569.0604,1935.6977,569.6418,2916.7623,92.88905,658.983,151.83987,3.03807886619687e-02,541.33,0
2013-01-15,4177.862,1839.5588,547.2412,2548.821,33.80011,565.9827,51.15626,2.55168540871241e-02,541.3,0
2013-01-16,3984.8019,1540.7209,431.7722,2014.5701,164.52951,465.7068,47.89882,3.43597604646397e-02,541.34,0
2013-01-17,0,259.2604,51.291,288.1788,34.17267,97.9569,14.26042,3.64349686762862e-02,541.34,0
2013-01-18,4526.2571,1319.7908,538.3532,1790.6016,9.9999,459.4777,56.3746,4.03085896764293e-02,541.34,0
2013-01-19,6107.5034,2353.5362,537.6841,2739.5249,56.68242,708.7378,85.99044,2.27426204974738e-02,541.29,0
2013-01-20,6497.8025,2365.2113,565.1937,2807.6016,58.52269,662.6592,102.89415,2.84350365360178e-02,541.54,0
2013-01-21,6118.266,1976.4518,714.5975,2564.9129,73.88937,591.5319,259.46535,3.18426877983471e-02,541.56,0
2013-01-22,4859.7548,1811.4528,465.9552,2403.2874,58.96074,509.3571,85.06248,3.14625415317766e-02,542.13,0
2013-01-23,5454.4473,1596.9501,497.6252,2420.3628,272.36254,525.6051,150.83754,3.48254311401227e-02,542.44,0
2013-01-24,0,153.3161,39.2531,211.8306,50.69122,47.579,22.41382,4.11592139145863e-02,542.44,0
2013-01-25,4026.7421,1309.0357,437.1812,1872.553,33.1708,407.2842,102.2016,4.74776999677807e-02,542.44,0
2013-01-26,6560.6716,1951.0663,425.559,2597.8809,128.46171,652.8321,160.15482,3.55482566788642e-02,542.49,0
2013-01-27,7079.3251,2071.2039,496.2017,2654.9313,159.0316,694.7287,244.92742,3.51673932482735e-02,542.78,0
2013-01-28,7163.4074,1933.0107,560.2289,2346.6323,107.11243,584.1983,206.23275,3.41515912325505e-02,543.26,0
2013-01-29,5701.6042,2116.5929,501.2367,2454.0138,283.49893,603.5379,251.52864,3.77479955170649e-02,543.92,0
2013-01-30,7869.009,1645.2355,276.1387,2286.2969,175.89569,547.5072,568.89763,3.83259787402412e-02,544.57,0
2013-01-31,0,989.1163,157.0578,1101.6315,44.18605,281.3079,42.97052,4.54037651351562e-02,544.57,0
2013-02-01,2308.1834,797.8005,449.2541,1142.0268,21.6243,250.6326,52.3672,2.38662616013271e-02,544.57,0
2013-02-02,5226.8474,2579.5234,458.9817,2824.9378,49.58811,759.3086,87.57877,2.56027373065106e-02,544.65,0
2013-02-03,5111.8734,2701.3415,571.1007,3084.8489,46.79377,854.1799,67.92424,2.44772229133727e-02,544.82,0
2013-02-04,5163.5467,2134.6888,548.5965,2742.5575,54.75649,755.0516,151.60441,2.80677049114319e-02,544.83,0
2013-02-05,4423.7778,2016.6802,527.9931,2590.7033,32.20865,704.003,40.6076,2.58486579077395e-02,544.83,0
2013-02-06,3727.7326,1976.0652,330.076,2477.7088,61.30608,797.446,82.16538,3.23759950020891e-02,544.74,0
2013-02-07,0,170.2966,92.6241,129.5785,33.8302,47.3884,17.7338,5.93183164995559e-02,544.74,0
2013-02-08,3548.9064,1857.8128,448.8709,2348.5547,23.9634,589.512,103.8689,2.75177882832071e-02,544.74,0
2013-02-09,6127.5684,2431.3221,522.9315,3200.46,46.50342,903.7992,106.6314,2.67800078586772e-02,544.53,0
2013-02-10,5851.0455,2443.8409,723.3151,3089.1741,69.65064,804.7014,124.77697,2.66794337276019e-02,544.2,0
2013-02-11,6112.8833,2388.3509,732.5164,3196.3628,68.07418,775.9977,124.57415,3.18466422413662e-02,543.95,0
2013-02-12,5030.0371,2346.1439,678.3883,2438.1517,76.54469,652.4731,115.88767,2.75690611034127e-02,542.98,0
2013-02-13,4635.0354,2197.0895,402.8126,2054.734,91.87292,611.5397,134.31229,3.07542332899285e-02,542.12,0
2013-02-14,0,274.026,20.7417,170.1117,34.21997,32.9956,11.58806,1.95037016721778e-02,542.12,0
2013-02-15,5392.781,1751.8102,652.103,1894.8122,23.9498,592.7438,70.5573,3.63327112739201e-02,542.12,0
2013-02-16,6263.886,2710.2785,523.3048,2838.9054,51.49847,788.5862,118.63267,2.72692071307695e-02,542.05,0
2013-02-17,7795.5924,2383.7671,829.0578,3159.2848,68.10056,860.0373,146.69999,2.89132394696045e-02,542.01,0
2013-02-18,7516.8744,1992.0861,779.8312,2654.4595,104.98534,746.4371,160.13666,2.97918392026377e-02,542.16,0
2013-02-19,6331.9176,2279.4035,576.1106,2724.0889,18.89809,622.4297,118.86536,3.07528531019775e-02,542.04,0
2013-02-20,5583.1722,1586.1899,376.1031,2153.9657,159.76933,382.494,99.37685,3.73275467311877e-02,541.82,0
2013-02-21,0,235.3945,54.0318,249.5779,27.82958,71.8713,17.86096,3.6395163502045e-02,541.82,0
2013-02-22,5042.6679,1630.5827,618.3745,2445.0609,12.0861,714.2878,98.3331,3.62408778411486e-02,541.82,0
2013-02-23,6855.3971,2219.469,513.2556,2653.3982,109.24909,662.5919,131.2028,3.23333162217637e-02,541.75,0
2013-02-24,7314.5994,2276.5646,689.1566,2559.4774,100.28474,735.014,141.80455,3.34308655828241e-02,541.77,0
2013-02-25,7854.6201,2341.349,916.6312,2818.9913,87.89958,654.425,193.74697,3.73772734998185e-02,541.81,0
2013-02-26,6910.1847,2049.4541,651.7848,2407.7322,55.71051,626.6237,164.09619,4.16884848168049e-02,541.82,0
2013-02-27,6061.1581,1636.3574,440.7438,2185.9022,250.34796,626.702,345.56798,4.33706899072096e-02,542.2,0
2013-02-28,0,203.1796,76.3976,173.775,39.23594,43.6532,21.14178,4.80354297010947e-02,542.2,0
2013-02-28,9255.5214,2549.2648,646.0787,2945.1696,302.9242,865.3967,605.6786,4.04211101013958e-02,542.2,0
2013-03-01,2783.9654,1274.4021,342.1408,1502.7444,52.08842,523.5651,105.39413,1.89258163642594e-02,542.22,0
2013-03-02,5326.1978,2630.8308,570.2974,2955.007,71.82023,815.9139,69.66549,2.58849722602256e-02,542.25,0
2013-03-03,5758.145,2650.0671,612.3373,3031.3566,87.2383,753.5644,138.8766,3.82438007791652e-02,542.24,0
2013-03-04,5932.8127,2763.1999,508.9088,3210.868,38.0532,746.4302,70.58121,4.5578105616424e-02,542.06,0
2013-03-05,4751.368,1544.9487,208.1855,1606.8519,29.94306,317.99,37.64002,5.97098530454137e-02,542.09,0
2013-03-06,0,732.6463,165.241,712.5131,50.8822,193.619,22.91817,3.68505798169941e-02,542.09,0
2013-03-07,5190.2003,2410.6554,703.1184,2514.086,72.0311,744.4198,62.1889,4.70439855995917e-02,542.09,0
2013-03-08,7981.1483,2917.4656,564.0747,3096.8459,59.44296,660.4902,122.70882,4.14456745461095e-02,542.05,0
2013-03-09,8436.0984,2770.9509,681.9748,3462.5585,93.86808,831.9017,101.59597,4.45150537143727e-02,542.02,0
2013-03-10,8258.0198,2682.1011,835.4801,3241.0736,92.2615,732.854,210.56397,4.51451870317803e-02,542.03,0
2013-03-11,4926.4364,1856.8543,448.9085,2629.1073,32.09744,486.5864,61.46419,4.42699984045713e-02,541.7,0
2013-03-12,10088.4013,3188.1676,924.3402,4231.914,65.20885,823.4421,72.88697,4.47194386118289e-02,541.67,0
2013-03-13,0,501.5563,267.5567,714.1322,85.14567,153.9157,142.4694,4.44369982503822e-02,541.67,0
2013-03-14,6439.3542,2017.2913,966.5211,2814.9084,46.7602,715.2717,77.8696,4.09783455539501e-02,541.67,0
2013-03-15,8086.9231,2562.0081,677.6551,3810.9179,75.20142,909.684,144.79814,3.19646136661278e-02,541.57,0
2013-03-16,8345.6677,3007.4199,784.1918,4180.4256,157.8993,832.6469,325.9736,3.49351404921249e-02,541.57,0
2013-03-17,9376.5586,3119.9702,938.545,4190.4887,104.3052,844.7356,228.64618,3.21052765925965e-02,541.54,0
2013-03-18,9409.8054,3522.1144,1161.5986,4692.62900000001,94.75862,822.5162,114.60612,3.05622173546887e-02,541.57,0
2013-03-19,15589.8886,3297.1124,856.6352,4063.9049,34.73823,713.0923,18.10985,3.75836893219528e-02,541.44,0
2013-03-20,0,2188.9291,733.1353,2932.9728,225.6113,613.2309,334.05257,3.87611259090302e-02,541.44,0
2013-03-21,7548.5723,2423.6419,710.5075,3703.9691,59.68416,748.9184,98.13054,3.91812108734669e-02,541.44,0
2013-03-22,10703.9012,3133.9236,964.115,4217.6916,113.93521,867.4366,226.28628,3.63889297086636e-02,541.43,0
2013-03-23,8661.4178,2770.2675,682.9458,3273.7575,77.9756,678.9834,161.21885,3.72042455868669e-02,541.45,0
2013-03-24,1333.6544,513.191,55.327,641.1646,4.2577,106.0351,7.9704,4.00032806019633e-02,541.45,1
2013-03-25,0,0,0,0,0,0,0,0,541.45,1
2013-03-26,61.471,116.9287,-4.6171,234.0479,19.17781,84.7236,33.21546,-2.33635289933291e-04,541.45,1
2013-03-27,0,73.5862,21.1269,45.2345,16.76148,18.0825,9.33255,3.68437284390135e-02,541.45,0
2013-03-28,3171.4462,1234.7778,578.4271,1576.5934,156.1868,504.3657,143.2833,3.02629443303294e-02,541.45,0
2013-03-29,6716.0388,2243.6644,516.6258,2837.7605,156.03952,840.5918,114.34736,3.22476115202433e-02,541.36,0
2013-03-30,7165.8482,2191.0172,546.653,2833.2927,358.02292,876.9591,310.38425,3.5639103245287e-02,541.59,0
2013-03-31,9904.8047,3373.6245,916.6447,3980.7515,319.19136,1110.7423,349.3677,3.56566941766619e-02,542.23,0
2013-04-01,3037.4485,2520.6844,545.6422,3079.26420000001,56.26099,853.391,8.28545599999998,2.32535525919837e-02,542.17,0
2013-04-02,2169.1949,680.1003,209.6275,1020.3564,72.566524,264.5597,87.03531,2.70071367032645e-02,542.23,0
2013-04-03,0,1544.2064,240.3357,1346.6289,41.155723,445.4109,18.230555,0.03922122694374,542.23,0
2013-04-04,2575.6136,954.3178,420.7768,1467.2751,12.863,347.6337,44.7868,2.97501599536742e-02,542.23,0
2013-04-05,6122.163,2581.4884,659.6655,3390.8921,21.409317,797.142,106.610542,2.90340323287886e-02,542.44,0
2013-04-06,6404.94160000001,2473.8285,861.2397,3614.67530000001,28.377849,782.513400000001,55.639384,2.9515562416143e-02,542.81,0
2013-04-07,6274.9964,2573.7122,955.7964,3760.53170000001,45.101023,809.2219,62.293224,3.00286008740242e-02,542.8,0
2013-04-08,4674.84950000001,2427.5162,718.7738,3229.3765,35.999876,769.2334,51.81447,2.67409901175271e-02,542.76,0
2013-04-09,2784.3799,1535.5235,292.7416,1922.3134,55.15366,446.292,93.760827,3.01140286074448e-02,542.72,0
2013-04-10,0,85.4307,15.6738,67.1973,61.953097,11.5428,18.824425,1.69848429847226e-02,542.72,0
2013-04-11,2079.9348,1105.2834,330.5724,1332.1118,29.9857,333.1856,33.294,3.56730974388281e-02,542.72,1
2013-04-12,5435.0464,2014.8996,470.4998,3133.3183,55.905856,666.249799999999,121.98601,2.87401136670361e-02,542.72,0
2013-04-13,7755.77640000001,2626.7273,669.9095,3414.1707,107.393885,795.3636,105.122643,3.67900944020554e-02,542.55,0
2013-04-14,8148.72080000001,2705.5637,850.1317,3385.03960000001,66.060287,810.210200000001,156.381696,3.49820200561583e-02,542.1,0
2013-04-15,6299.0739,2525.841,531.24,3458.48340000001,17.966372,727.579599999999,-6.06223900000003,3.71874942196437e-02,541.79,0
2013-04-16,4781.024,1942.1076,382.7051,2627.0186,79.784393,540.650599999999,58.408458,4.18251677986631e-02,541.62,0
2013-04-17,0,193.7367,28.6171,269.2554,45.853667,170.5305,16.01932,4.65519217942627e-02,541.62,0
2013-04-18,4911.9021,1802.5447,491.2182,2090.4631,85.8442,574.8079,100.3754,3.95223061452748e-02,541.62,0
2013-04-19,7355.8071,2610.1375,488.0669,3386.4715,106.571467,937.6168,122.813259,3.63878354546767e-02,541.63,0
2013-04-20,6348.6529,2787.2181,577.4609,3188.8285,60.827016,996.3094,72.27301,3.51009698308298e-02,541.83,0
2013-04-21,6080.4778,2533.3911,583.7234,2994.1239,75.326605,746.1165,143.58999,3.37852083181002e-02,541.87,0
2013-04-22,6086.62920000001,2908.9625,595.2402,3122.50020000001,82.974211,634.925199999999,83.519769,3.46410570312738e-02,541.86,0
2013-04-23,4675.2031,1744.4723,314.9888,2505.1908,124.053844,513.5431,65.665475,3.47010997632037e-02,541.83,0
2013-04-24,0,133.1491,24.4244,181.5841,47.85159,26.4784,15.940377,4.83864631466653e-02,541.83,0
2013-04-25,4823.3181,1916.5191,574.9052,2453.5404,73.4866,430.3262,214.7298,3.63390241442428e-02,541.83,0
2013-04-26,7852.72210000001,2473.8679,489.4119,3355.76940000001,54.801031,712.947399999999,97.172,3.60351030825151e-02,541.83,0
2013-04-27,7979.79950000001,2318.4491,539.3309,3074.6665,103.954673,719.6989,160.470802,3.47459121675219e-02,542.65,0
2013-04-28,8046.64460000001,2379.1477,547.3862,3118.5782,163.800454,732.1536,256.99282,3.29023221018302e-02,543.48,0
2013-04-29,7645.86140000001,2278.5563,491.6729,2916.92280000001,173.373434,667.8677,230.269042,3.47312677669923e-02,543.62,0
2013-04-30,6066.699,1542.5907,289.3635,1989.9442,88.210503,401.0667,380.306796,3.79995593836247e-02,544.03,0
2013-05-01,0,292.6644,68.1826,486.5478,43.654233,142.6922,8.909098,3.54710343793785e-02,544.03,1
2013-05-02,3532.3999,1863.3572,575.0855,2837.4218,93.8631,810.422,58.0899,3.50482548711025e-02,544.03,0
2013-05-03,5220.9241,2653.2027,596.2095,3377.51700000001,46.1957,920.711,90.9392,2.9238324253539e-02,543.95,0
2013-05-04,5509.8655,2852.5872,886.96,3844.94260000001,118.391905,979.5225,109.972297,2.76713558495666e-02,543.73,0
2013-05-05,4704.6787,2228.0293,523.5,3104.36250000001,58.015725,641.907000000001,103.791268,3.12861960452694e-02,543.71,0
2013-05-06,4386.4969,2422.0596,432.6736,2910.68080000001,94.017589,588.6815,80.9385,3.07064240535508e-02,543.69,0
2013-05-07,3431.0584,1949.3102,312.7876,2486.2502,93.906073,516.3073,63.339095,3.08255967822276e-02,543.65,0
2013-05-08,0,201.5477,36.7665,307.4808,49.380792,53.4709,13.810038,3.05080301495386e-02,543.65,0
2013-05-09,3933.974,1690.257,409.008,2111.5911,28.3535,442.2118,42.2585,3.79550457814872e-02,543.65,0
2013-05-10,5779.0497,2245.955,461.7313,3311.2443,75.903499,786.6517,107.872892,2.92832972971052e-02,543.61,0
2013-05-11,6400.0989,2380.3015,562.565200000001,3052.6031,59.636466,720.259600000001,65.111834,3.11308282754818e-02,543.65,0
2013-05-12,6303.9451,2197.7692,589.700200000001,2739.97380000001,68.825849,685.1167,125.122912,3.66172685152159e-02,543.48,0
2013-05-13,5859.0046,2424.7833,501.6254,2954.6688,77.965656,709.134,103.448182,3.24087107574924e-02,543.3,0
2013-05-14,5574.4098,1993.457,381.8339,2673.6706,61.124158,615.620200000001,59.832644,4.05364514217138e-02,543.34,0
2013-05-15,0,74.8656,21.6568,84.705,40.040833,65.5243,13.354349,1.37268484415554e-02,543.34,0
2013-05-16,4117.946,1855.1746,421.7404,2396.4605,35.4147,605.307800000001,64.1,3.57525883746124e-02,543.34,0
